Production Line,Approved items,Rejected items,Total items,Work Station,Avg. Fixing time,Avg. Supplying time,Avg. Production Time WS,Avg. Production time PL,Day,Downtime
PL#1, 1103, 541, 1644, WS#1@PL#1, 0.32738439731552754, 12.693856916908391, 4.007535651653457, 8.678071279154919, 1, 25920.256786437916
PL#1, 111, 40, 151, WS#2@PL#1, 0.35867049228276426, 9.033970357729558, 3.9730000155404936, 8.678071279154919, 1, 2977.4890970266056
PL#1, 92, 53, 145, WS#3@PL#1, 0.33634066779010435, 10.741501020604753, 4.02992088853518, 8.678071279154919, 1, 2402.4392819671307
PL#1, 62, 35, 97, WS#4@PL#1, 0.23757948014991886, 10.745648579732489, 3.99652711186637, 8.678071279154919, 1, 1190.336625575821
PL#1, 60, 37, 97, WS#5@PL#1, 0.31609028837996483, 11.719073458587987, 4.063413797726961, 8.678071279154919, 1, 1429.703229159205
PL#1, 50, 31, 81, WS#6@PL#1, 0.3297614226325608, 11.086097063434849, 3.960247016375317, 8.678071279154919, 1, 1096.6601163182247
PL#1, 997, 457, 1454, WS#1@PL#1, 0.3202094083778913, 13.312409637754548, 3.979297086717072, 8.638501818860075, 2, 24771.29931265832
PL#1, 82, 36, 118, WS#2@PL#1, 0.3103698988372202, 11.42148916931342, 4.008654289620589, 8.638501818860075, 2, 3075.9422152049433
PL#1, 77, 29, 106, WS#3@PL#1, 0.247803082597327, 10.200991895486615, 3.942078327782829, 8.638501818860075, 2, 2529.1489602551273
PL#1, 54, 30, 84, WS#4@PL#1, 0.3436245738359414, 9.366837479994116, 4.074555843364254, 8.638501818860075, 2, 2151.932309454266
PL#1, 46, 35, 81, WS#5@PL#1, 0.4002683075147384, 15.319136928171416, 4.133296613726883, 8.638501818860075, 2, 2241.731714298443
PL#1, 48, 14, 62, WS#6@PL#1, 0.3000970230486106, 12.968800462673714, 4.079170215146257, 8.638501818860075, 2, 1916.6429962619252
PL#1, 747, 383, 1130, WS#1@PL#1, 0.3593448086668247, 14.097556248727603, 3.980855286447796, 8.856688527024247, 3, 20619.59803493295
