Production Line,Approved items,Rejected items,Total items,Work Station,Avg. Fixing time,Avg. Supplying time,Avg. Production Time WS,Avg. Production time PL,Day,Downtime
PL#1, 794, 45, 839, WS#1@PL#1, 0.3380459367088631, 14.048356889180152, 4.001992554104805, 8.846626533381786, 1, 29951.689145868946
PL#1, 794, 45, 839, WS#2@PL#1, 0.3872102302216558, 10.244279628323044, 3.9906581312024296, 8.846626533381786, 1, 3194.699986061005
PL#1, 794, 45, 839, WS#3@PL#1, 0.3524028054875152, 10.61141684629121, 4.039677915860688, 8.846626533381786, 1, 1986.0576316022282
PL#1, 794, 45, 839, WS#4@PL#1, 0.3698986178512497, 12.820824024379219, 3.924267390803648, 8.846626533381786, 1, 1473.0407959326196
PL#1, 794, 45, 839, WS#5@PL#1, 0.31157602086564484, 10.300671304131, 3.990656183015292, 8.846626533381786, 1, 1139.3053638717229
PL#1, 794, 45, 839, WS#6@PL#1, 0.3540151782563871, 10.974382110274428, 4.069895210236979, 8.846626533381786, 1, 951.9392105834977
PL#1, 233, 6, 239, WS#1@PL#1, 0.3190057203906666, 13.451558865395842, 4.01220451299274, 8.834608911111118, 2, 8928.730499987007
PL#1, 233, 6, 239, WS#2@PL#1, 0.3061341229658264, 7.830426465960642, 3.9010515418642817, 8.834608911111118, 2, 785.9152574718421
PL#1, 233, 6, 239, WS#3@PL#1, 0.21300062290610455, 8.889730730638137, 3.9413477515330895, 8.834608911111118, 2, 990.8070069562723
PL#1, 233, 6, 239, WS#4@PL#1, 0.42323173106601075, 14.042842916103194, 3.9834596664937805, 8.834608911111118, 2, 605.9051662717324
PL#1, 233, 6, 239, WS#5@PL#1, 0.2546284615553013, 10.011292352655918, 4.035533550905895, 8.834608911111118, 2, 758.8481320686124
PL#1, 233, 6, 239, WS#6@PL#1, 0.1903415989588634, 17.228994838974412, 4.07240537194653, 8.834608911111118, 2, 606.025323091128
PL#1, 831, 35, 866, WS#1@PL#1, 0.30112043752763507, 11.29447255933131, 4.00644982396065, 8.345072480615869, 3, 22988.734078673497
PL#1, 831, 35, 866, WS#2@PL#1, 0.33446403895480875, 8.938433867578858, 4.02284358045502, 8.345072480615869, 3, 2574.7876082700677
PL#1, 831, 35, 866, WS#3@PL#1, 0.32665162595649955, 8.16973864164157, 4.023754489389592, 8.345072480615869, 3, 1671.5195612987698
PL#1, 831, 35, 866, WS#4@PL#1, 0.3400750119133331, 10.867871691464671, 4.084319384235718, 8.345072480615869, 3, 1538.5057874007205
PL#1, 831, 35, 866, WS#5@PL#1, 0.39557677805132635, 9.645361279647267, 3.9029079709169774, 8.345072480615869, 3, 1131.9159421147767
PL#1, 831, 35, 866, WS#6@PL#1, 0.4120292177209312, 11.836742179479097, 4.011489588494632, 8.345072480615869, 3, 1098.8689817373793
PL#1, 821, 40, 861, WS#1@PL#1, 0.33546474801930865, 14.332223049751626, 3.99675080470144, 8.8937584350148, 4, 30047.583772239777
PL#1, 821, 40, 861, WS#2@PL#1, 0.3499972153342136, 12.08695979825443, 3.94668450871997, 8.8937584350148, 4, 3253.6551117608897
PL#1, 821, 40, 861, WS#3@PL#1, 0.4267353645771092, 11.440419052484716, 3.9830871248038884, 8.8937584350148, 4, 2243.76521196293
PL#1, 821, 40, 861, WS#4@PL#1, 0.34892729489899577, 11.177016518898828, 4.002520995694572, 8.8937584350148, 4, 1240.637490515639
PL#1, 821, 40, 861, WS#5@PL#1, 0.2978676022509083, 15.253484458795704, 3.973934029804625, 8.8937584350148, 4, 1991.5911401087178
PL#1, 821, 40, 861, WS#6@PL#1, 0.35100233088747723, 15.295407889940352, 4.056306163910839, 8.8937584350148, 4, 1137.4762211497857
PL#1, 305, 20, 325, WS#1@PL#1, 0.31208526663300407, 14.67545768027202, 4.003442287862807, 9.148289940249422, 5, 12390.811674039636
PL#1, 305, 20, 325, WS#2@PL#1, 0.33066012329591876, 11.744783689517998, 3.9626619874746, 9.148289940249422, 5, 1934.1044219799624
PL#1, 305, 20, 325, WS#3@PL#1, 0.29515058673137684, 11.626645158292451, 3.9364973522129607, 9.148289940249422, 5, 1405.6138930008528
PL#1, 305, 20, 325, WS#4@PL#1, 0.37339732799917486, 13.4472544497802, 4.083940433752413, 9.148289940249422, 5, 943.7443432551972
PL#1, 305, 20, 325, WS#5@PL#1, 0.17607067121327696, 20.69864276251693, 4.011380401164143, 9.148289940249422, 5, 1851.6657000883179
PL#1, 305, 20, 325, WS#6@PL#1, 0.24563973259063665, 14.260708426571412, 3.947240289543169, 9.148289940249422, 5, 1002.160511509315
PL#1, 812, 35, 847, WS#1@PL#1, 0.3339483736072054, 12.485168175597483, 4.004404157913617, 8.473805767468718, 6, 25255.020225556662
PL#1, 812, 35, 847, WS#2@PL#1, 0.4085122923964482, 8.68271346272967, 4.0502779536612685, 8.473805767468718, 6, 2572.326348077552
PL#1, 812, 35, 847, WS#3@PL#1, 0.3147834713795178, 10.486963925741424, 3.976989420864944, 8.473805767468718, 6, 1960.3335778006701
PL#1, 812, 35, 847, WS#4@PL#1, 0.33406288650921234, 9.514347392643833, 3.9678015343186215, 8.473805767468718, 6, 1615.781632062643
PL#1, 812, 35, 847, WS#5@PL#1, 0.38362416762013674, 10.191886809626737, 4.013001879994857, 8.473805767468718, 6, 1357.2214080669535
PL#1, 812, 35, 847, WS#6@PL#1, 0.4484154636538371, 8.468902455155968, 3.9957753824628197, 8.473805767468718, 6, 767.1337910642294
PL#1, 394, 32, 426, WS#1@PL#1, 0.3167807811755304, 12.759232777801808, 3.995465059347253, 8.806074639566962, 7, 14249.776690889708
PL#1, 394, 32, 426, WS#2@PL#1, 0.24672311810126857, 9.40935894760277, 3.917223271208796, 8.806074639566962, 7, 1591.2761107297383
PL#1, 394, 32, 426, WS#3@PL#1, 0.2906122114272108, 12.716948978847137, 4.022940594524554, 8.806074639566962, 7, 2700.565407266839
PL#1, 394, 32, 426, WS#4@PL#1, 0.1650068456811539, 9.62399826929174, 4.080540076367356, 8.806074639566962, 7, 1169.658988458472
PL#1, 394, 32, 426, WS#5@PL#1, 0.33003068793864093, 11.68047140162459, 3.9413757345203098, 8.806074639566962, 7, 1310.171787641873
PL#1, 394, 32, 426, WS#6@PL#1, 0.5082981713404742, 11.746400375163976, 4.08316075855857, 8.806074639566962, 7, 961.9865879046697
PL#1, 199, 14, 213, WS#1@PL#1, 0.310903330471165, 12.48993729986539, 3.9654575771055023, 8.70021681162027, 8, 6880.166195986571
PL#1, 199, 14, 213, WS#2@PL#1, 0.31486793042694217, 10.088955897676556, 4.1034874453729095, 8.70021681162027, 8, 854.6229892999365
PL#1, 199, 14, 213, WS#3@PL#1, 0.277608550388561, 8.714126005379462, 4.070677203573835, 8.70021681162027, 8, 722.1882463340062
PL#1, 199, 14, 213, WS#4@PL#1, 0.3581988749814626, 13.433053060681608, 4.11743806820648, 8.70021681162027, 8, 565.4673549597915
PL#1, 199, 14, 213, WS#5@PL#1, 0.2995782654614575, 7.731183910965657, 3.848440675496103, 8.70021681162027, 8, 563.6795060676939
PL#1, 199, 14, 213, WS#6@PL#1, 0.49852952226900776, 11.634273824870396, 4.025308723537162, 8.70021681162027, 8, 641.7864690517357
PL#1, 634, 29, 663, WS#1@PL#1, 0.30786646507569665, 13.95640936293508, 4.0005071711585805, 9.064500833296131, 9, 24651.66502808802
PL#1, 634, 29, 663, WS#2@PL#1, 0.3540675396882888, 11.694692228600005, 4.085561483078014, 9.064500833296131, 9, 3448.5794154098858
PL#1, 634, 29, 663, WS#3@PL#1, 0.3053783344231483, 13.243158605926226, 4.056580523140537, 9.064500833296131, 9, 3051.7198263778455
PL#1, 634, 29, 663, WS#4@PL#1, 0.29956998445004546, 11.350250400374167, 4.052684945640154, 9.064500833296131, 9, 1816.615225769326
PL#1, 634, 29, 663, WS#5@PL#1, 0.3455392760773765, 14.324086776400653, 3.9999416256534728, 9.064500833296131, 9, 2492.3361142779854
PL#1, 634, 29, 663, WS#6@PL#1, 0.3253843817958533, 16.242650401761768, 4.0045537517489675, 9.064500833296131, 9, 1672.9600405674607
PL#1, 779, 40, 819, WS#1@PL#1, 0.3025897234380842, 13.132818042384256, 3.998734484462215, 8.98612382025207, 10, 27135.302272413996
PL#1, 779, 40, 819, WS#2@PL#1, 0.3035567601353749, 9.872221279875086, 4.008038497961306, 8.98612382025207, 10, 3177.0206584080147
PL#1, 779, 40, 819, WS#3@PL#1, 0.34195071026066853, 10.20665002568946, 4.019716335309656, 8.98612382025207, 10, 1789.6351328803928
PL#1, 779, 40, 819, WS#4@PL#1, 0.40021587715337753, 9.15788178109201, 4.004701248533054, 8.98612382025207, 10, 1206.5332666280965
PL#1, 779, 40, 819, WS#5@PL#1, 0.34699702651746234, 11.780244986351619, 4.027769572846502, 8.98612382025207, 10, 1517.9342720220136
PL#1, 779, 40, 819, WS#6@PL#1, 0.3758599583903248, 11.870744602222059, 3.9274365461953407, 8.98612382025207, 10, 983.1734163003573
PL#1, 63, 2, 65, WS#1@PL#1, 0.32212676020749054, 7.250118114759999, 3.978077398460288, 8.113029902045936, 11, 1670.8433437577044
PL#1, 63, 2, 65, WS#2@PL#1, 0.25349341688630567, 5.153905174174472, 3.902086591207977, 8.113029902045936, 11, 204.1463940824973
PL#1, 63, 2, 65, WS#3@PL#1, 0.06319249046744346, 7.323326707930333, 4.0457190633731575, 8.113029902045936, 11, 221.88307323321345
PL#1, 63, 2, 65, WS#4@PL#1, 0.3589696261831108, 11.301930707419924, 4.002923531708768, 8.113029902045936, 11, 203.37827670038234
PL#1, 63, 2, 65, WS#5@PL#1, 0.12465577878552381, 10.133526606485784, 3.8881894217468465, 8.113029902045936, 11, 150.92581541770022
